dhlabid,urn,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype
200272051,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20081112_10_45_1,budstikkasoegne,,,,,Kristiansand,20081112,2008,,,,,,,digavis
200272035,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080723_10_29_1,budstikkasoegne,,,,,Kristiansand,20080723,2008,,,,,,,digavis
200272023,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080430_10_17_1,budstikkasoegne,,,,,Kristiansand,20080430,2008,,,,,,,digavis
200272043,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080917_10_37_1,budstikkasoegne,,,,,Kristiansand,20080917,2008,,,,,,,digavis
200272007,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080109_10_1_1,budstikkasoegne,,,,,Kristiansand,20080109,2008,,,,,,,digavis
200272116,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100317_12_11_1,budstikkasoegne,,,,,Kristiansand,20100317,2010,,,,,,,digavis
200272104,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20091216_11_47_1,budstikkasoegne,,,,,Kristiansand,20091216,2009,,,,,,,digavis
200272046,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20081008_10_40_1,budstikkasoegne,,,,,Kristiansand,20081008,2008,,,,,,,digavis
200272135,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100804_12_31_1,budstikkasoegne,,,,,Kristiansand,20100804,2010,,,,,,,digavis
200272108,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100120_12_3_1,budstikkasoegne,,,,,Kristiansand,20100120,2010,,,,,,,digavis
200272022,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080423_10_16_1,budstikkasoegne,,,,,Kristiansand,20080423,2008,,,,,,,digavis
200272150,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20101117_12_46_1,budstikkasoegne,,,,,Kristiansand,20101117,2010,,,,,,,digavis
200272140,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100908_12_36_1,budstikkasoegne,,,,,Kristiansand,20100908,2010,,,,,,,digavis
200272110,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100203_12_5_1,budstikkasoegne,,,,,Kristiansand,20100203,2010,,,,,,,digavis
200272128,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100616_12_23_1,budstikkasoegne,,,,,Kristiansand,20100616,2010,,,,,,,digavis
200272122,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100505_12_17_1,budstikkasoegne,,,,,Kristiansand,20100505,2010,,,,,,,digavis
200272192,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110921_13_38_1,budstikkasoegne,,,,,Kristiansand,20110921,2011,,,,,,,digavis
200272078,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090603_11_21_1,budstikkasoegne,,,,,Kristiansand,20090603,2009,,,,,,,digavis
200272161,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110209_13_6_1,budstikkasoegne,,,,,Kristiansand,20110209,2011,,,,,,,digavis
200272142,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100922_12_38_1,budstikkasoegne,,,,,Kristiansand,20100922,2010,,,,,,,digavis
200272042,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080910_10_36_1,budstikkasoegne,,,,,Kristiansand,20080910,2008,,,,,,,digavis
200272063,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090211_11_6_1,budstikkasoegne,,,,,Kristiansand,20090211,2009,,,,,,,digavis
200272086,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090812_11_29_1,budstikkasoegne,,,,,Kristiansand,20090812,2009,,,,,,,digavis
200272064,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090218_11_7_1,budstikkasoegne,,,,,Kristiansand,20090218,2009,,,,,,,digavis
200272193,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110928_13_39_1,budstikkasoegne,,,,,Kristiansand,20110928,2011,,,,,,,digavis
200272203,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20111207_13_49_1,budstikkasoegne,,,,,Kristiansand,20111207,2011,,,,,,,digavis
200272014,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080227_10_8_1,budstikkasoegne,,,,,Kristiansand,20080227,2008,,,,,,,digavis
200272012,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080213_10_6_1,budstikkasoegne,,,,,Kristiansand,20080213,2008,,,,,,,digavis
200272189,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110831_13_35_1,budstikkasoegne,,,,,Kristiansand,20110831,2011,,,,,,,digavis
200272141,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100915_12_37_1,budstikkasoegne,,,,,Kristiansand,20100915,2010,,,,,,,digavis
200272133,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100721_12_29_1,budstikkasoegne,,,,,Kristiansand,20100721,2010,,,,,,,digavis
200272144,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20101006_12_40_1,budstikkasoegne,,,,,Kristiansand,20101006,2010,,,,,,,digavis
200272179,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110622_13_24_1,budstikkasoegne,,,,,Kristiansand,20110622,2011,,,,,,,digavis
200272033,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080709_10_27_1,budstikkasoegne,,,,,Kristiansand,20080709,2008,,,,,,,digavis
